id,name,l10n_co_document_code,country_id:id,is_vat,sequence,code
rut,NIT,rut,base.co,TRUE,1,NIT
national_citizen_id,Cédula de ciudadanía,national_citizen_id,base.co,FALSE,2,CC
external_id,ID del Exterior,external_id,base.co,FALSE,3,
foreign_id_card,Cédula Extranjera,foreign_id_card,base.co,FALSE,4,CE
passport,Pasaporte,passport,base.co,FALSE,5,PA
id_card,Tarjeta de Identidad,id_card,base.co,FALSE,6,TI
civil_registration,Registro Civil,civil_registration,base.co,FALSE,7,RC
diplomatic_card,Carné Diplomatico,diplomatic_card,base.co,FALSE,8,CD
residence_document,Salvoconducto de Permanencia,residence_document,base.co,FALSE,9,SC
id_document,Cédula,id_document,base.co,FALSE,10